C-TUM_ICD10_3ST-0;C-BERJ-0;C-BUNDESLAND-0;C-KRE_GESCHLECHT-0;F-KRE
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-5;GESCHLECHT-1;2
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-5;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-6;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-6;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-7;GESCHLECHT-1;2
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-8;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-9;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-9;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-1;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-1;GESCHLECHT-2;3
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-2;GESCHLECHT-1;5
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-2;GESCHLECHT-2;5
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-3;GESCHLECHT-1;11
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-3;GESCHLECHT-2;7
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-4;GESCHLECHT-1;12
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-4;GESCHLECHT-2;3
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-5;GESCHLECHT-1;5
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-5;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-6;GESCHLECHT-1;4
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-6;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-7;GESCHLECHT-1;4
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-7;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-8;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-8;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-9;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1994;BUNDESLAND-9;GESCHLECHT-2;5
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-1;GESCHLECHT-1;2
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-1;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-2;GESCHLECHT-1;9
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-2;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-3;GESCHLECHT-1;16
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-3;GESCHLECHT-2;4
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-4;GESCHLECHT-1;15
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-4;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-5;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-5;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-6;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-6;GESCHLECHT-2;6
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-7;GESCHLECHT-1;4
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-7;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-8;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-9;GESCHLECHT-1;4
TUM_ICD10_3ST-C00;BERJ-1995;BUNDESLAND-9;GESCHLECHT-2;4
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-1;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-1;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-2;GESCHLECHT-1;6
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-2;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-3;GESCHLECHT-1;9
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-3;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-4;GESCHLECHT-1;8
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-4;GESCHLECHT-2;4
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-5;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-6;GESCHLECHT-1;2
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-6;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-7;GESCHLECHT-1;6
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-7;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-8;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-9;GESCHLECHT-1;7
TUM_ICD10_3ST-C00;BERJ-1996;BUNDESLAND-9;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-1;GESCHLECHT-1;5
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-1;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-2;GESCHLECHT-1;4
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-3;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-3;GESCHLECHT-2;4
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-4;GESCHLECHT-1;8
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-4;GESCHLECHT-2;3
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-5;GESCHLECHT-1;2
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-6;GESCHLECHT-1;4
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-6;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-7;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-7;GESCHLECHT-2;3
TUM_ICD10_3ST-C00;BERJ-1997;BUNDESLAND-9;GESCHLECHT-2;3
TUM_ICD10_3ST-C00;BERJ-1998;BUNDESLAND-1;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1998;BUNDESLAND-1;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1998;BUNDESLAND-2;GESCHLECHT-1;5
TUM_ICD10_3ST-C00;BERJ-1998;BUNDESLAND-2;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1998;BUNDESLAND-3;GESCHLECHT-1;13
TUM_ICD10_3ST-C00;BERJ-1998;BUNDESLAND-3;GESCHLECHT-2;7
TUM_ICD10_3ST-C00;BERJ-1998;BUNDESLAND-4;GESCHLECHT-1;8
TUM_ICD10_3ST-C00;BERJ-1998;BUNDESLAND-4;GESCHLECHT-2;4
TUM_ICD10_3ST-C00;BERJ-1998;BUNDESLAND-5;GESCHLECHT-1;2
TUM_ICD10_3ST-C00;BERJ-1998;BUNDESLAND-5;GESCHLECHT-2;1
