C-TUM_ICD10_3ST-0;C-BERJ-0;C-BUNDESLAND-0;C-KRE_GESCHLECHT-0;F-KRE
TUM_ICD10_3ST-C00;BERJ-1987;BUNDESLAND-3;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1987;BUNDESLAND-4;GESCHLECHT-1;11
TUM_ICD10_3ST-C00;BERJ-1987;BUNDESLAND-4;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1987;BUNDESLAND-5;GESCHLECHT-1;6
TUM_ICD10_3ST-C00;BERJ-1987;BUNDESLAND-6;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1987;BUNDESLAND-6;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1987;BUNDESLAND-7;GESCHLECHT-1;4
TUM_ICD10_3ST-C00;BERJ-1987;BUNDESLAND-7;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1987;BUNDESLAND-8;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1987;BUNDESLAND-9;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1987;BUNDESLAND-9;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-1;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-2;GESCHLECHT-1;8
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-2;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-3;GESCHLECHT-1;10
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-3;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-4;GESCHLECHT-1;4
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-4;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-5;GESCHLECHT-1;4
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-6;GESCHLECHT-1;2
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-6;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-7;GESCHLECHT-1;4
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-8;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-9;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1988;BUNDESLAND-9;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-1;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-2;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-2;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-3;GESCHLECHT-1;11
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-3;GESCHLECHT-2;4
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-4;GESCHLECHT-1;17
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-4;GESCHLECHT-2;3
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-5;GESCHLECHT-1;9
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-6;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-7;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-7;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-8;GESCHLECHT-1;5
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-9;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1989;BUNDESLAND-9;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-1;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-2;GESCHLECHT-1;5
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-2;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-3;GESCHLECHT-1;9
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-3;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-4;GESCHLECHT-1;8
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-4;GESCHLECHT-2;4
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-5;GESCHLECHT-1;7
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-5;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-6;GESCHLECHT-1;2
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-6;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-7;GESCHLECHT-1;4
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-7;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-8;GESCHLECHT-1;2
TUM_ICD10_3ST-C00;BERJ-1990;BUNDESLAND-9;GESCHLECHT-1;11
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-1;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-2;GESCHLECHT-1;2
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-2;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-3;GESCHLECHT-1;9
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-3;GESCHLECHT-2;4
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-4;GESCHLECHT-1;7
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-4;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-5;GESCHLECHT-1;2
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-6;GESCHLECHT-1;6
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-6;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-7;GESCHLECHT-1;11
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-8;GESCHLECHT-1;4
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-8;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-9;GESCHLECHT-1;7
TUM_ICD10_3ST-C00;BERJ-1991;BUNDESLAND-9;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-1;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-2;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-2;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-3;GESCHLECHT-1;5
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-3;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-4;GESCHLECHT-1;6
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-4;GESCHLECHT-2;5
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-5;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-5;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-6;GESCHLECHT-1;5
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-6;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-7;GESCHLECHT-1;5
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-7;GESCHLECHT-2;3
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-8;GESCHLECHT-1;1
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-9;GESCHLECHT-1;5
TUM_ICD10_3ST-C00;BERJ-1992;BUNDESLAND-9;GESCHLECHT-2;1
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-1;GESCHLECHT-1;3
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-1;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-2;GESCHLECHT-1;5
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-2;GESCHLECHT-2;2
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-3;GESCHLECHT-1;14
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-3;GESCHLECHT-2;5
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-4;GESCHLECHT-1;14
TUM_ICD10_3ST-C00;BERJ-1993;BUNDESLAND-4;GESCHLECHT-2;4
